test_id,object_id,noise_sigma,init_x,init_y,final_reward,num_steps
221,36,0.1,0.12098522571769676,0.029861231147238043,0.0,1
222,69,0.05,0.18870568507895213,0.014429129599415003,0.0,1
223,27,0.05,-0.04422038324508781,0.2138866336923696,1.0,1
224,54,0.05,0.17101058594844099,0.028003083039818466,0.0,1
225,18,0.05,-0.10108399929282985,-0.30135005428746386,1.0,1
226,4,0.05,0.18265721486048359,-0.19120529861562946,0.0,1
227,47,0.01,0.01320494341237105,0.27145108970674947,1.0,1
228,11,0.1,0.11540601333489986,0.2911408875075713,0.0,1
229,37,0.05,0.2617037031529912,-0.2565086597802873,0.0,1
230,53,0.1,-0.038523663127706165,0.06137137137804166,0.0,1
231,5,0.01,-0.34868908615469296,-0.23903572324849984,1.0,1
232,60,0.05,-0.05204420923461123,0.3952203895656563,0.0,1
233,19,0.01,-0.2018495902909644,-0.2160493523948425,0.0,1
234,32,0.1,-0.3942164756321729,-0.17477111973358017,0.0,1
235,69,0.01,-0.3921549975283234,0.13231704495468966,1.0,1
236,75,0.01,0.20800171201063022,-0.30993426795623624,1.0,1
237,17,0.05,-0.03272808929209542,-0.2891425055917236,1.0,1
238,13,0.1,-0.2073396618632459,-0.39209824947363353,0.0,1
239,12,0.01,-0.19764634828298908,0.19175309799647167,1.0,1
240,50,0.05,0.36845055915676184,-0.18613050968384626,0.0,1
241,78,0.01,-0.34311485203215786,-0.3724371220386477,1.0,1
242,15,0.01,-0.35532510215800794,-0.18743932041746536,1.0,1
243,16,0.05,0.2732314461588995,0.19007172259864524,0.0,1
244,81,0.1,0.19235966028704876,-0.12219217349472594,0.0,1
245,36,0.1,0.12098522571769676,0.029861231147238043,0.0,1
246,69,0.05,0.18870568507895213,0.014429129599415003,0.0,1
247,27,0.05,-0.04422038324508781,0.2138866336923696,1.0,1
248,54,0.05,0.17101058594844099,0.028003083039818466,0.0,1
249,18,0.05,-0.10108399929282985,-0.30135005428746386,1.0,1
250,4,0.05,0.18265721486048359,-0.19120529861562946,0.0,1
251,47,0.01,0.01320494341237105,0.27145108970674947,1.0,1
252,11,0.1,0.11540601333489986,0.2911408875075713,0.0,1
253,37,0.05,0.2617037031529912,-0.2565086597802873,0.0,1
254,53,0.1,-0.038523663127706165,0.06137137137804166,0.0,1
255,5,0.01,-0.34868908615469296,-0.23903572324849984,1.0,1
256,60,0.05,-0.05204420923461123,0.3952203895656563,0.0,1
257,19,0.01,-0.2018495902909644,-0.2160493523948425,0.0,1
258,32,0.1,-0.3942164756321729,-0.17477111973358017,0.0,1
259,69,0.01,-0.3921549975283234,0.13231704495468966,1.0,1
260,75,0.01,0.20800171201063022,-0.30993426795623624,1.0,1
261,17,0.05,-0.03272808929209542,-0.2891425055917236,1.0,1
262,13,0.1,-0.2073396618632459,-0.39209824947363353,0.0,1
263,12,0.01,-0.19764634828298908,0.19175309799647167,1.0,1
264,50,0.05,0.36845055915676184,-0.18613050968384626,0.0,1
265,78,0.01,-0.34311485203215786,-0.3724371220386477,1.0,1
266,15,0.01,-0.35532510215800794,-0.18743932041746536,1.0,1
267,16,0.05,0.2732314461588995,0.19007172259864524,0.0,1
268,81,0.1,0.19235966028704876,-0.12219217349472594,0.0,1
269,36,0.1,0.12098522571769676,0.029861231147238043,0.0,1
270,69,0.05,0.18870568507895213,0.014429129599415003,0.0,1
271,27,0.05,-0.04422038324508781,0.2138866336923696,1.0,1
272,54,0.05,0.17101058594844099,0.028003083039818466,0.0,1
273,18,0.05,-0.10108399929282985,-0.30135005428746386,1.0,1
274,4,0.05,0.18265721486048359,-0.19120529861562946,0.0,1
