test_id,object_id,noise_sigma,init_x,init_y,final_reward,num_steps
54,13,0.1,-0.2073396618632459,-0.39209824947363353,0.0,1
55,12,0.01,-0.19764634828298908,0.19175309799647167,1.0,1
56,50,0.05,0.36845055915676184,-0.18613050968384626,0.0,1
57,78,0.01,-0.34311485203215786,-0.3724371220386477,1.0,1
58,15,0.01,-0.35532510215800794,-0.18743932041746536,1.0,1
59,16,0.05,0.2732314461588995,0.19007172259864524,0.0,1
60,81,0.1,0.19235966028704876,-0.12219217349472594,0.0,1
61,36,0.1,0.12098522571769676,0.029861231147238043,0.0,1
62,69,0.05,0.18870568507895213,0.014429129599415003,0.0,1
63,27,0.05,-0.04422038324508781,0.2138866336923696,1.0,1
64,54,0.05,0.17101058594844099,0.028003083039818466,0.0,1
65,18,0.05,-0.10108399929282985,-0.30135005428746386,1.0,1
66,4,0.05,0.18265721486048359,-0.19120529861562946,0.0,1
67,47,0.01,0.01320494341237105,0.27145108970674947,1.0,1
68,11,0.1,0.11540601333489986,0.2911408875075713,0.0,1
69,37,0.05,0.2617037031529912,-0.2565086597802873,0.0,1
70,53,0.1,-0.038523663127706165,0.06137137137804166,0.0,1
71,5,0.01,-0.34868908615469296,-0.23903572324849984,1.0,1
72,60,0.05,-0.05204420923461123,0.3952203895656563,0.0,1
73,19,0.01,-0.2018495902909644,-0.2160493523948425,0.0,1
74,32,0.1,-0.3942164756321729,-0.17477111973358017,0.0,1
75,69,0.01,-0.3921549975283234,0.13231704495468966,1.0,1
76,75,0.01,0.20800171201063022,-0.30993426795623624,1.0,1
77,17,0.05,-0.03272808929209542,-0.2891425055917236,1.0,1
78,13,0.1,-0.2073396618632459,-0.39209824947363353,0.0,1
79,12,0.01,-0.19764634828298908,0.19175309799647167,1.0,1
80,50,0.05,0.36845055915676184,-0.18613050968384626,0.0,1
81,78,0.01,-0.34311485203215786,-0.3724371220386477,1.0,1
82,15,0.01,-0.35532510215800794,-0.18743932041746536,1.0,1
83,16,0.05,0.2732314461588995,0.19007172259864524,0.0,1
84,81,0.1,0.19235966028704876,-0.12219217349472594,0.0,1
85,36,0.1,0.12098522571769676,0.029861231147238043,0.0,1
86,69,0.05,0.18870568507895213,0.014429129599415003,0.0,1
87,27,0.05,-0.04422038324508781,0.2138866336923696,1.0,1
88,54,0.05,0.17101058594844099,0.028003083039818466,0.0,1
89,18,0.05,-0.10108399929282985,-0.30135005428746386,1.0,1
90,4,0.05,0.18265721486048359,-0.19120529861562946,0.0,1
91,47,0.01,0.01320494341237105,0.27145108970674947,1.0,1
92,11,0.1,0.11540601333489986,0.2911408875075713,0.0,1
93,37,0.05,0.2617037031529912,-0.2565086597802873,0.0,1
94,53,0.1,-0.038523663127706165,0.06137137137804166,0.0,1
95,5,0.01,-0.34868908615469296,-0.23903572324849984,1.0,1
96,60,0.05,-0.05204420923461123,0.3952203895656563,0.0,1
97,19,0.01,-0.2018495902909644,-0.2160493523948425,0.0,1
98,32,0.1,-0.3942164756321729,-0.17477111973358017,0.0,1
99,69,0.01,-0.3921549975283234,0.13231704495468966,1.0,1
100,75,0.01,0.20800171201063022,-0.30993426795623624,1.0,1
101,17,0.05,-0.03272808929209542,-0.2891425055917236,1.0,1
