[82, array([0.5313, 0.0278]), array([0.5281, 0.0219]), 0.7854, 1.0]
[82, array([0.5313, 0.0278]), array([0.52824762, 0.0219    ]), 0.7854, 1.0]
[82, array([0.5313, 0.0278]), array([0.52839524, 0.0219    ]), 0.7854, 1.0]
[82, array([0.5313, 0.0278]), array([0.52854286, 0.0219    ]), 0.7854, 1.0]
[82, array([0.5313, 0.0278]), array([0.52869048, 0.0219    ]), 0.7854, 1.0]
[82, array([0.5313, 0.0278]), array([0.5288381, 0.0219   ]), 0.7854, 1.0]
[82, array([0.5313, 0.0278]), array([0.52898571, 0.0219    ]), 0.7854, 1.0]
[82, array([0.5313, 0.0278]), array([0.52913333, 0.0219    ]), 0.7854, 1.0]
[82, array([0.5313, 0.0278]), array([0.52928095, 0.0219    ]), 0.7854, 1.0]
[82, array([0.5313, 0.0278]), array([0.52942857, 0.0219    ]), 0.7854, 1.0]
[82, array([0.5313, 0.0278]), array([0.52957619, 0.0219    ]), 0.7854, 1.0]
[82, array([0.5313, 0.0278]), array([0.52972381, 0.0219    ]), 0.7854, 1.0]
[82, array([0.5313, 0.0278]), array([0.52987143, 0.0219    ]), 0.7854, 1.0]
[82, array([0.5313, 0.0278]), array([0.53001905, 0.0219    ]), 0.7854, 1.0]
[82, array([0.5313, 0.0278]), array([0.53016667, 0.0219    ]), 0.7854, 1.0]
[82, array([0.5313, 0.0278]), array([0.53031429, 0.0219    ]), 0.7854, 1.0]
[82, array([0.5313, 0.0278]), array([0.5304619, 0.0219   ]), 0.7854, 1.0]
[82, array([0.5313, 0.0278]), array([0.53060952, 0.0219    ]), 0.7854, 1.0]
[82, array([0.5313, 0.0278]), array([0.53075714, 0.0219    ]), 0.7854, 1.0]
[82, array([0.5313, 0.0278]), array([0.53090476, 0.0219    ]), 0.7854, 1.0]
[82, array([0.5313, 0.0278]), array([0.53105238, 0.0219    ]), 0.7854, 1.0]
[82, array([0.5313, 0.0278]), array([0.5312, 0.0219]), 0.7854, 1.0]
[82, array([0.5313, 0.0278]), array([0.5281    , 0.02204762]), 0.7854, 1.0]
[82, array([0.5313, 0.0278]), array([0.52824762, 0.02204762]), 0.7854, 1.0]
[82, array([0.5313, 0.0278]), array([0.52839524, 0.02204762]), 0.7854, 1.0]
[82, array([0.5313, 0.0278]), array([0.52854286, 0.02204762]), 0.7854, 1.0]
[82, array([0.5313, 0.0278]), array([0.52869048, 0.02204762]), 0.7854, 1.0]
[82, array([0.5313, 0.0278]), array([0.5288381 , 0.02204762]), 0.7854, 1.0]
[82, array([0.5313, 0.0278]), array([0.52898571, 0.02204762]), 0.7854, 1.0]
[82, array([0.5313, 0.0278]), array([0.52913333, 0.02204762]), 0.7854, 1.0]
[82, array([0.5313, 0.0278]), array([0.52928095, 0.02204762]), 0.7854, 1.0]
[82, array([0.5313, 0.0278]), array([0.52942857, 0.02204762]), 0.7854, 1.0]
[82, array([0.5313, 0.0278]), array([0.52957619, 0.02204762]), 0.7854, 1.0]
[82, array([0.5313, 0.0278]), array([0.52972381, 0.02204762]), 0.7854, 1.0]
[82, array([0.5313, 0.0278]), array([0.52987143, 0.02204762]), 0.7854, 1.0]
[82, array([0.5313, 0.0278]), array([0.53001905, 0.02204762]), 0.7854, 1.0]
[82, array([0.5313, 0.0278]), array([0.53016667, 0.02204762]), 0.7854, 1.0]
[82, array([0.5313, 0.0278]), array([0.53031429, 0.02204762]), 0.7854, 1.0]
[82, array([0.5313, 0.0278]), array([0.5304619 , 0.02204762]), 0.7854, 1.0]
[82, array([0.5313, 0.0278]), array([0.53060952, 0.02204762]), 0.7854, 1.0]
[82, array([0.5313, 0.0278]), array([0.53075714, 0.02204762]), 0.7854, 1.0]
[82, array([0.5313, 0.0278]), array([0.53090476, 0.02204762]), 0.7854, 1.0]
[82, array([0.5313, 0.0278]), array([0.53105238, 0.02204762]), 0.7854, 1.0]
