[84, array([ 0.484 , -0.0051]), array([ 0.4844, -0.0031]), 0.7854, 1.0]
[84, array([ 0.484 , -0.0051]), array([ 0.48454762, -0.0031    ]), 0.7854, 1.0]
[84, array([ 0.484 , -0.0051]), array([ 0.48469524, -0.0031    ]), 0.7854, 0.0]
[84, array([ 0.484 , -0.0051]), array([ 0.48484286, -0.0031    ]), 0.7854, 0.0]
[84, array([ 0.484 , -0.0051]), array([ 0.48499048, -0.0031    ]), 0.7854, 0.0]
[84, array([ 0.484 , -0.0051]), array([ 0.4851381, -0.0031   ]), 0.7854, 1.0]
[84, array([ 0.484 , -0.0051]), array([ 0.48528571, -0.0031    ]), 0.7854, 0.0]
[84, array([ 0.484 , -0.0051]), array([ 0.48543333, -0.0031    ]), 0.7854, 1.0]
[84, array([ 0.484 , -0.0051]), array([ 0.48558095, -0.0031    ]), 0.7854, 1.0]
[84, array([ 0.484 , -0.0051]), array([ 0.48572857, -0.0031    ]), 0.7854, 1.0]
[84, array([ 0.484 , -0.0051]), array([ 0.48587619, -0.0031    ]), 0.7854, 1.0]
[84, array([ 0.484 , -0.0051]), array([ 0.48602381, -0.0031    ]), 0.7854, 1.0]
[84, array([ 0.484 , -0.0051]), array([ 0.48617143, -0.0031    ]), 0.7854, 1.0]
[84, array([ 0.484 , -0.0051]), array([ 0.48631905, -0.0031    ]), 0.7854, 1.0]
[84, array([ 0.484 , -0.0051]), array([ 0.48646667, -0.0031    ]), 0.7854, 1.0]
[84, array([ 0.484 , -0.0051]), array([ 0.48661429, -0.0031    ]), 0.7854, 1.0]
[84, array([ 0.484 , -0.0051]), array([ 0.4867619, -0.0031   ]), 0.7854, 1.0]
[84, array([ 0.484 , -0.0051]), array([ 0.48690952, -0.0031    ]), 0.7854, 1.0]
[84, array([ 0.484 , -0.0051]), array([ 0.48705714, -0.0031    ]), 0.7854, 1.0]
[84, array([ 0.484 , -0.0051]), array([ 0.48720476, -0.0031    ]), 0.7854, 1.0]
[84, array([ 0.484 , -0.0051]), array([ 0.48735238, -0.0031    ]), 0.7854, 1.0]
[84, array([ 0.484 , -0.0051]), array([ 0.4875, -0.0031]), 0.7854, 1.0]
[84, array([ 0.484 , -0.0051]), array([ 0.4844    , -0.00295238]), 0.7854, 1.0]
[84, array([ 0.484 , -0.0051]), array([ 0.48454762, -0.00295238]), 0.7854, 0.0]
[84, array([ 0.484 , -0.0051]), array([ 0.48469524, -0.00295238]), 0.7854, 0.0]
[84, array([ 0.484 , -0.0051]), array([ 0.48484286, -0.00295238]), 0.7854, 0.0]
[84, array([ 0.484 , -0.0051]), array([ 0.48499048, -0.00295238]), 0.7854, 0.0]
[84, array([ 0.484 , -0.0051]), array([ 0.4851381 , -0.00295238]), 0.7854, 0.0]
[84, array([ 0.484 , -0.0051]), array([ 0.48528571, -0.00295238]), 0.7854, 1.0]
[84, array([ 0.484 , -0.0051]), array([ 0.48543333, -0.00295238]), 0.7854, 1.0]
[84, array([ 0.484 , -0.0051]), array([ 0.48558095, -0.00295238]), 0.7854, 1.0]
[84, array([ 0.484 , -0.0051]), array([ 0.48572857, -0.00295238]), 0.7854, 1.0]
[84, array([ 0.484 , -0.0051]), array([ 0.48587619, -0.00295238]), 0.7854, 1.0]
[84, array([ 0.484 , -0.0051]), array([ 0.48602381, -0.00295238]), 0.7854, 1.0]
[84, array([ 0.484 , -0.0051]), array([ 0.48617143, -0.00295238]), 0.7854, 1.0]
[84, array([ 0.484 , -0.0051]), array([ 0.48631905, -0.00295238]), 0.7854, 1.0]
[84, array([ 0.484 , -0.0051]), array([ 0.48646667, -0.00295238]), 0.7854, 1.0]
[84, array([ 0.484 , -0.0051]), array([ 0.48661429, -0.00295238]), 0.7854, 1.0]
[84, array([ 0.484 , -0.0051]), array([ 0.4867619 , -0.00295238]), 0.7854, 1.0]
[84, array([ 0.484 , -0.0051]), array([ 0.48690952, -0.00295238]), 0.7854, 1.0]
[84, array([ 0.484 , -0.0051]), array([ 0.48705714, -0.00295238]), 0.7854, 1.0]
[84, array([ 0.484 , -0.0051]), array([ 0.48720476, -0.00295238]), 0.7854, 1.0]
[84, array([ 0.484 , -0.0051]), array([ 0.48735238, -0.00295238]), 0.7854, 0.0]
[84, array([ 0.484 , -0.0051]), array([ 0.4875    , -0.00295238]), 0.7854, 1.0]
[84, array([ 0.484 , -0.0051]), array([ 0.4844    , -0.00280476]), 0.7854, 0.0]
[84, array([ 0.484 , -0.0051]), array([ 0.48454762, -0.00280476]), 0.7854, 0.0]
[84, array([ 0.484 , -0.0051]), array([ 0.48469524, -0.00280476]), 0.7854, 0.0]
[84, array([ 0.484 , -0.0051]), array([ 0.48484286, -0.00280476]), 0.7854, 0.0]
[84, array([ 0.484 , -0.0051]), array([ 0.48499048, -0.00280476]), 0.7854, 0.0]
[84, array([ 0.484 , -0.0051]), array([ 0.4851381 , -0.00280476]), 0.7854, 1.0]
[84, array([ 0.484 , -0.0051]), array([ 0.48528571, -0.00280476]), 0.7854, 1.0]
[84, array([ 0.484 , -0.0051]), array([ 0.48543333, -0.00280476]), 0.7854, 1.0]
[84, array([ 0.484 , -0.0051]), array([ 0.48558095, -0.00280476]), 0.7854, 1.0]
[84, array([ 0.484 , -0.0051]), array([ 0.48572857, -0.00280476]), 0.7854, 1.0]
[84, array([ 0.484 , -0.0051]), array([ 0.48587619, -0.00280476]), 0.7854, 1.0]
[84, array([ 0.484 , -0.0051]), array([ 0.48602381, -0.00280476]), 0.7854, 1.0]
[84, array([ 0.484 , -0.0051]), array([ 0.48617143, -0.00280476]), 0.7854, 1.0]
