[84, array([0.5203, 0.0488]), array([0.51725, 0.0438 ]), 0.7854, 0.0]
[84, array([0.5203, 0.0488]), array([0.51754524, 0.0438    ]), 0.7854, 0.0]
[84, array([0.5203, 0.0488]), array([0.51784048, 0.0438    ]), 0.7854, 0.0]
[84, array([0.5203, 0.0488]), array([0.51813571, 0.0438    ]), 0.7854, 0.0]
[84, array([0.5203, 0.0488]), array([0.51843095, 0.0438    ]), 0.7854, 0.0]
[84, array([0.5203, 0.0488]), array([0.51872619, 0.0438    ]), 0.7854, 0.0]
[84, array([0.5203, 0.0488]), array([0.51902143, 0.0438    ]), 0.7854, 0.0]
[84, array([0.5203, 0.0488]), array([0.51931667, 0.0438    ]), 0.7854, 0.0]
[84, array([0.5203, 0.0488]), array([0.5196119, 0.0438   ]), 0.7854, 1.0]
[84, array([0.5203, 0.0488]), array([0.51990714, 0.0438    ]), 0.7854, 1.0]
[84, array([0.5203, 0.0488]), array([0.52020238, 0.0438    ]), 0.7854, 0.0]
[84, array([0.5203, 0.0488]), array([0.52049762, 0.0438    ]), 0.7854, 1.0]
[84, array([0.5203, 0.0488]), array([0.52079286, 0.0438    ]), 0.7854, 1.0]
[84, array([0.5203, 0.0488]), array([0.5210881, 0.0438   ]), 0.7854, 1.0]
[84, array([0.5203, 0.0488]), array([0.52138333, 0.0438    ]), 0.7854, 1.0]
[84, array([0.5203, 0.0488]), array([0.52167857, 0.0438    ]), 0.7854, 1.0]
[84, array([0.5203, 0.0488]), array([0.52197381, 0.0438    ]), 0.7854, 0.0]
[84, array([0.5203, 0.0488]), array([0.52226905, 0.0438    ]), 0.7854, 0.0]
[84, array([0.5203, 0.0488]), array([0.52256429, 0.0438    ]), 0.7854, 0.0]
[84, array([0.5203, 0.0488]), array([0.52285952, 0.0438    ]), 0.7854, 0.0]
[84, array([0.5203, 0.0488]), array([0.52315476, 0.0438    ]), 0.7854, 0.0]
[84, array([0.5203, 0.0488]), array([0.52345, 0.0438 ]), 0.7854, 0.0]
