[82, array([ 0.4705, -0.0301]), array([ 0.4688, -0.0312]), 0.7854, 1.0]
[82, array([ 0.4705, -0.0301]), array([ 0.46894762, -0.0312    ]), 0.7854, 1.0]
[82, array([ 0.4705, -0.0301]), array([ 0.46909524, -0.0312    ]), 0.7854, 1.0]
[82, array([ 0.4705, -0.0301]), array([ 0.46924286, -0.0312    ]), 0.7854, 1.0]
[82, array([ 0.4705, -0.0301]), array([ 0.46939048, -0.0312    ]), 0.7854, 1.0]
[82, array([ 0.4705, -0.0301]), array([ 0.4695381, -0.0312   ]), 0.7854, 1.0]
[82, array([ 0.4705, -0.0301]), array([ 0.46968571, -0.0312    ]), 0.7854, 1.0]
[82, array([ 0.4705, -0.0301]), array([ 0.46983333, -0.0312    ]), 0.7854, 1.0]
[82, array([ 0.4705, -0.0301]), array([ 0.46998095, -0.0312    ]), 0.7854, 1.0]
[82, array([ 0.4705, -0.0301]), array([ 0.47012857, -0.0312    ]), 0.7854, 1.0]
[82, array([ 0.4705, -0.0301]), array([ 0.47027619, -0.0312    ]), 0.7854, 1.0]
[82, array([ 0.4705, -0.0301]), array([ 0.47042381, -0.0312    ]), 0.7854, 1.0]
[82, array([ 0.4705, -0.0301]), array([ 0.47057143, -0.0312    ]), 0.7854, 1.0]
[82, array([ 0.4705, -0.0301]), array([ 0.47071905, -0.0312    ]), 0.7854, 1.0]
[82, array([ 0.4705, -0.0301]), array([ 0.47086667, -0.0312    ]), 0.7854, 1.0]
[82, array([ 0.4705, -0.0301]), array([ 0.47101429, -0.0312    ]), 0.7854, 1.0]
[82, array([ 0.4705, -0.0301]), array([ 0.4711619, -0.0312   ]), 0.7854, 1.0]
[82, array([ 0.4705, -0.0301]), array([ 0.47130952, -0.0312    ]), 0.7854, 1.0]
[82, array([ 0.4705, -0.0301]), array([ 0.47145714, -0.0312    ]), 0.7854, 1.0]
[82, array([ 0.4705, -0.0301]), array([ 0.47160476, -0.0312    ]), 0.7854, 1.0]
[82, array([ 0.4705, -0.0301]), array([ 0.47175238, -0.0312    ]), 0.7854, 1.0]
[82, array([ 0.4705, -0.0301]), array([ 0.4719, -0.0312]), 0.7854, 1.0]
[82, array([ 0.4705, -0.0301]), array([ 0.4688    , -0.03105238]), 0.7854, 1.0]
[82, array([ 0.4705, -0.0301]), array([ 0.46894762, -0.03105238]), 0.7854, 1.0]
[82, array([ 0.4705, -0.0301]), array([ 0.46909524, -0.03105238]), 0.7854, 1.0]
[82, array([ 0.4705, -0.0301]), array([ 0.46924286, -0.03105238]), 0.7854, 1.0]
[82, array([ 0.4705, -0.0301]), array([ 0.46939048, -0.03105238]), 0.7854, 1.0]
[82, array([ 0.4705, -0.0301]), array([ 0.4695381 , -0.03105238]), 0.7854, 1.0]
[82, array([ 0.4705, -0.0301]), array([ 0.46968571, -0.03105238]), 0.7854, 1.0]
[82, array([ 0.4705, -0.0301]), array([ 0.46983333, -0.03105238]), 0.7854, 1.0]
[82, array([ 0.4705, -0.0301]), array([ 0.46998095, -0.03105238]), 0.7854, 1.0]
[82, array([ 0.4705, -0.0301]), array([ 0.47012857, -0.03105238]), 0.7854, 1.0]
[82, array([ 0.4705, -0.0301]), array([ 0.47027619, -0.03105238]), 0.7854, 1.0]
