[84, array([ 0.4625, -0.0014]), array([ 0.4594, -0.0031]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.45954762, -0.0031    ]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.45969524, -0.0031    ]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.45984286, -0.0031    ]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.45999048, -0.0031    ]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.4601381, -0.0031   ]), 0.7854, 1.0]
[84, array([ 0.4625, -0.0014]), array([ 0.46028571, -0.0031    ]), 0.7854, 1.0]
[84, array([ 0.4625, -0.0014]), array([ 0.46043333, -0.0031    ]), 0.7854, 1.0]
[84, array([ 0.4625, -0.0014]), array([ 0.46058095, -0.0031    ]), 0.7854, 1.0]
[84, array([ 0.4625, -0.0014]), array([ 0.46072857, -0.0031    ]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.46087619, -0.0031    ]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.46102381, -0.0031    ]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.46117143, -0.0031    ]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.46131905, -0.0031    ]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.46146667, -0.0031    ]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.46161429, -0.0031    ]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.4617619, -0.0031   ]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.46190952, -0.0031    ]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.46205714, -0.0031    ]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.46220476, -0.0031    ]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.46235238, -0.0031    ]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.4625, -0.0031]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.4594    , -0.00295238]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.45954762, -0.00295238]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.45969524, -0.00295238]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.45984286, -0.00295238]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.45999048, -0.00295238]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.4601381 , -0.00295238]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.46028571, -0.00295238]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.46043333, -0.00295238]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.46058095, -0.00295238]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.46072857, -0.00295238]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.46087619, -0.00295238]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.46102381, -0.00295238]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.46117143, -0.00295238]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.46131905, -0.00295238]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.46146667, -0.00295238]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.46161429, -0.00295238]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.4617619 , -0.00295238]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.46190952, -0.00295238]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.46205714, -0.00295238]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.46220476, -0.00295238]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.46235238, -0.00295238]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.4625    , -0.00295238]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.4594    , -0.00280476]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.45954762, -0.00280476]), 0.7854, 1.0]
[84, array([ 0.4625, -0.0014]), array([ 0.45969524, -0.00280476]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.45984286, -0.00280476]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.45999048, -0.00280476]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.4601381 , -0.00280476]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.46028571, -0.00280476]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.46043333, -0.00280476]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.46058095, -0.00280476]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.46072857, -0.00280476]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.46087619, -0.00280476]), 0.7854, 0.0]
[84, array([ 0.4625, -0.0014]), array([ 0.46102381, -0.00280476]), 0.7854, 0.0]
