[84, array([ 0.5342, -0.0276]), array([ 0.5312 , -0.02815]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53135238, -0.02815   ]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53150476, -0.02815   ]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53165714, -0.02815   ]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53180952, -0.02815   ]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.5319619, -0.02815  ]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53211429, -0.02815   ]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53226667, -0.02815   ]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53241905, -0.02815   ]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53257143, -0.02815   ]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53272381, -0.02815   ]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53287619, -0.02815   ]), 0.7854, 1.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53302857, -0.02815   ]), 0.7854, 1.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53318095, -0.02815   ]), 0.7854, 1.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53333333, -0.02815   ]), 0.7854, 1.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53348571, -0.02815   ]), 0.7854, 1.0]
[84, array([ 0.5342, -0.0276]), array([ 0.5336381, -0.02815  ]), 0.7854, 1.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53379048, -0.02815   ]), 0.7854, 1.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53394286, -0.02815   ]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53409524, -0.02815   ]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53424762, -0.02815   ]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.5344 , -0.02815]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.5312    , -0.02799762]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53135238, -0.02799762]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53150476, -0.02799762]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53165714, -0.02799762]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53180952, -0.02799762]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.5319619 , -0.02799762]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53211429, -0.02799762]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53226667, -0.02799762]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53241905, -0.02799762]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53257143, -0.02799762]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53272381, -0.02799762]), 0.7854, 1.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53287619, -0.02799762]), 0.7854, 1.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53302857, -0.02799762]), 0.7854, 1.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53318095, -0.02799762]), 0.7854, 1.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53333333, -0.02799762]), 0.7854, 1.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53348571, -0.02799762]), 0.7854, 1.0]
[84, array([ 0.5342, -0.0276]), array([ 0.5336381 , -0.02799762]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53379048, -0.02799762]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53394286, -0.02799762]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53409524, -0.02799762]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53424762, -0.02799762]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.5344    , -0.02799762]), 0.7854, 1.0]
[84, array([ 0.5342, -0.0276]), array([ 0.5312    , -0.02784524]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53135238, -0.02784524]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53150476, -0.02784524]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53165714, -0.02784524]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53180952, -0.02784524]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.5319619 , -0.02784524]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53211429, -0.02784524]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53226667, -0.02784524]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53241905, -0.02784524]), 0.7854, 1.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53257143, -0.02784524]), 0.7854, 1.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53272381, -0.02784524]), 0.7854, 1.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53287619, -0.02784524]), 0.7854, 1.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53302857, -0.02784524]), 0.7854, 1.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53318095, -0.02784524]), 0.7854, 1.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53333333, -0.02784524]), 0.7854, 1.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53348571, -0.02784524]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.5336381 , -0.02784524]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53379048, -0.02784524]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53394286, -0.02784524]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53409524, -0.02784524]), 0.7854, 1.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53424762, -0.02784524]), 0.7854, 1.0]
[84, array([ 0.5342, -0.0276]), array([ 0.5344    , -0.02784524]), 0.7854, 1.0]
[84, array([ 0.5342, -0.0276]), array([ 0.5312    , -0.02769286]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53135238, -0.02769286]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53150476, -0.02769286]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53165714, -0.02769286]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53180952, -0.02769286]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.5319619 , -0.02769286]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53211429, -0.02769286]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53226667, -0.02769286]), 0.7854, 1.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53241905, -0.02769286]), 0.7854, 1.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53257143, -0.02769286]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53272381, -0.02769286]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53287619, -0.02769286]), 0.7854, 1.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53302857, -0.02769286]), 0.7854, 1.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53318095, -0.02769286]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53333333, -0.02769286]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53348571, -0.02769286]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.5336381 , -0.02769286]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53379048, -0.02769286]), 0.7854, 0.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53394286, -0.02769286]), 0.7854, 1.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53409524, -0.02769286]), 0.7854, 1.0]
[84, array([ 0.5342, -0.0276]), array([ 0.53424762, -0.02769286]), 0.7854, 1.0]
[84, array([ 0.5342, -0.0276]), array([ 0.5344    , -0.02769286]), 0.7854, 1.0]
