[84, array([0.4886, 0.0312]), array([0.48745, 0.0312 ]), 0.7854, 0.0]
[84, array([0.4886, 0.0312]), array([0.48760238, 0.0312    ]), 0.7854, 0.0]
[84, array([0.4886, 0.0312]), array([0.48775476, 0.0312    ]), 0.7854, 0.0]
[84, array([0.4886, 0.0312]), array([0.48790714, 0.0312    ]), 0.7854, 0.0]
[84, array([0.4886, 0.0312]), array([0.48805952, 0.0312    ]), 0.7854, 0.0]
[84, array([0.4886, 0.0312]), array([0.4882119, 0.0312   ]), 0.7854, 0.0]
[84, array([0.4886, 0.0312]), array([0.48836429, 0.0312    ]), 0.7854, 1.0]
[84, array([0.4886, 0.0312]), array([0.48851667, 0.0312    ]), 0.7854, 1.0]
[84, array([0.4886, 0.0312]), array([0.48866905, 0.0312    ]), 0.7854, 0.0]
[84, array([0.4886, 0.0312]), array([0.48882143, 0.0312    ]), 0.7854, 1.0]
[84, array([0.4886, 0.0312]), array([0.48897381, 0.0312    ]), 0.7854, 1.0]
[84, array([0.4886, 0.0312]), array([0.48912619, 0.0312    ]), 0.7854, 1.0]
[84, array([0.4886, 0.0312]), array([0.48927857, 0.0312    ]), 0.7854, 1.0]
[84, array([0.4886, 0.0312]), array([0.48943095, 0.0312    ]), 0.7854, 1.0]
[84, array([0.4886, 0.0312]), array([0.48958333, 0.0312    ]), 0.7854, 1.0]
[84, array([0.4886, 0.0312]), array([0.48973571, 0.0312    ]), 0.7854, 0.0]
[84, array([0.4886, 0.0312]), array([0.4898881, 0.0312   ]), 0.7854, 0.0]
[84, array([0.4886, 0.0312]), array([0.49004048, 0.0312    ]), 0.7854, 0.0]
[84, array([0.4886, 0.0312]), array([0.49019286, 0.0312    ]), 0.7854, 1.0]
[84, array([0.4886, 0.0312]), array([0.49034524, 0.0312    ]), 0.7854, 1.0]
[84, array([0.4886, 0.0312]), array([0.49049762, 0.0312    ]), 0.7854, 1.0]
[84, array([0.4886, 0.0312]), array([0.49065, 0.0312 ]), 0.7854, 1.0]
[84, array([0.4886, 0.0312]), array([0.48745   , 0.03135238]), 0.7854, 0.0]
[84, array([0.4886, 0.0312]), array([0.48760238, 0.03135238]), 0.7854, 0.0]
[84, array([0.4886, 0.0312]), array([0.48775476, 0.03135238]), 0.7854, 0.0]
[84, array([0.4886, 0.0312]), array([0.48790714, 0.03135238]), 0.7854, 0.0]
[84, array([0.4886, 0.0312]), array([0.48805952, 0.03135238]), 0.7854, 1.0]
[84, array([0.4886, 0.0312]), array([0.4882119 , 0.03135238]), 0.7854, 1.0]
[84, array([0.4886, 0.0312]), array([0.48836429, 0.03135238]), 0.7854, 1.0]
[84, array([0.4886, 0.0312]), array([0.48851667, 0.03135238]), 0.7854, 1.0]
[84, array([0.4886, 0.0312]), array([0.48866905, 0.03135238]), 0.7854, 1.0]
[84, array([0.4886, 0.0312]), array([0.48882143, 0.03135238]), 0.7854, 1.0]
[84, array([0.4886, 0.0312]), array([0.48897381, 0.03135238]), 0.7854, 1.0]
[84, array([0.4886, 0.0312]), array([0.48912619, 0.03135238]), 0.7854, 1.0]
[84, array([0.4886, 0.0312]), array([0.48927857, 0.03135238]), 0.7854, 1.0]
[84, array([0.4886, 0.0312]), array([0.48943095, 0.03135238]), 0.7854, 1.0]
[84, array([0.4886, 0.0312]), array([0.48958333, 0.03135238]), 0.7854, 1.0]
[84, array([0.4886, 0.0312]), array([0.48973571, 0.03135238]), 0.7854, 1.0]
[84, array([0.4886, 0.0312]), array([0.4898881 , 0.03135238]), 0.7854, 1.0]
[84, array([0.4886, 0.0312]), array([0.49004048, 0.03135238]), 0.7854, 1.0]
[84, array([0.4886, 0.0312]), array([0.49019286, 0.03135238]), 0.7854, 0.0]
[84, array([0.4886, 0.0312]), array([0.49034524, 0.03135238]), 0.7854, 1.0]
[84, array([0.4886, 0.0312]), array([0.49049762, 0.03135238]), 0.7854, 1.0]
[84, array([0.4886, 0.0312]), array([0.49065   , 0.03135238]), 0.7854, 0.0]
[84, array([0.4886, 0.0312]), array([0.48745   , 0.03150476]), 0.7854, 0.0]
[84, array([0.4886, 0.0312]), array([0.48760238, 0.03150476]), 0.7854, 0.0]
[84, array([0.4886, 0.0312]), array([0.48775476, 0.03150476]), 0.7854, 0.0]
[84, array([0.4886, 0.0312]), array([0.48790714, 0.03150476]), 0.7854, 1.0]
[84, array([0.4886, 0.0312]), array([0.48805952, 0.03150476]), 0.7854, 1.0]
[84, array([0.4886, 0.0312]), array([0.4882119 , 0.03150476]), 0.7854, 1.0]
[84, array([0.4886, 0.0312]), array([0.48836429, 0.03150476]), 0.7854, 1.0]
[84, array([0.4886, 0.0312]), array([0.48851667, 0.03150476]), 0.7854, 1.0]
[84, array([0.4886, 0.0312]), array([0.48866905, 0.03150476]), 0.7854, 0.0]
[84, array([0.4886, 0.0312]), array([0.48882143, 0.03150476]), 0.7854, 1.0]
[84, array([0.4886, 0.0312]), array([0.48897381, 0.03150476]), 0.7854, 1.0]
[84, array([0.4886, 0.0312]), array([0.48912619, 0.03150476]), 0.7854, 1.0]
[84, array([0.4886, 0.0312]), array([0.48927857, 0.03150476]), 0.7854, 1.0]
[84, array([0.4886, 0.0312]), array([0.48943095, 0.03150476]), 0.7854, 1.0]
[84, array([0.4886, 0.0312]), array([0.48958333, 0.03150476]), 0.7854, 0.0]
[84, array([0.4886, 0.0312]), array([0.48973571, 0.03150476]), 0.7854, 0.0]
[84, array([0.4886, 0.0312]), array([0.4898881 , 0.03150476]), 0.7854, 1.0]
[84, array([0.4886, 0.0312]), array([0.49004048, 0.03150476]), 0.7854, 1.0]
[84, array([0.4886, 0.0312]), array([0.49019286, 0.03150476]), 0.7854, 1.0]
[84, array([0.4886, 0.0312]), array([0.49034524, 0.03150476]), 0.7854, 1.0]
[84, array([0.4886, 0.0312]), array([0.49049762, 0.03150476]), 0.7854, 0.0]
[84, array([0.4886, 0.0312]), array([0.49065   , 0.03150476]), 0.7854, 1.0]
[84, array([0.4886, 0.0312]), array([0.48745   , 0.03165714]), 0.7854, 0.0]
[84, array([0.4886, 0.0312]), array([0.48760238, 0.03165714]), 0.7854, 0.0]
