[82, array([ 0.5188, -0.0212]), array([ 0.5188, -0.025 ]), 0.7854, 1.0]
[82, array([ 0.5188, -0.0212]), array([ 0.51894762, -0.025     ]), 0.7854, 1.0]
[82, array([ 0.5188, -0.0212]), array([ 0.51909524, -0.025     ]), 0.7854, 1.0]
[82, array([ 0.5188, -0.0212]), array([ 0.51924286, -0.025     ]), 0.7854, 1.0]
[82, array([ 0.5188, -0.0212]), array([ 0.51939048, -0.025     ]), 0.7854, 1.0]
[82, array([ 0.5188, -0.0212]), array([ 0.5195381, -0.025    ]), 0.7854, 1.0]
[82, array([ 0.5188, -0.0212]), array([ 0.51968571, -0.025     ]), 0.7854, 1.0]
[82, array([ 0.5188, -0.0212]), array([ 0.51983333, -0.025     ]), 0.7854, 1.0]
[82, array([ 0.5188, -0.0212]), array([ 0.51998095, -0.025     ]), 0.7854, 1.0]
[82, array([ 0.5188, -0.0212]), array([ 0.52012857, -0.025     ]), 0.7854, 1.0]
[82, array([ 0.5188, -0.0212]), array([ 0.52027619, -0.025     ]), 0.7854, 1.0]
[82, array([ 0.5188, -0.0212]), array([ 0.52042381, -0.025     ]), 0.7854, 1.0]
[82, array([ 0.5188, -0.0212]), array([ 0.52057143, -0.025     ]), 0.7854, 1.0]
[82, array([ 0.5188, -0.0212]), array([ 0.52071905, -0.025     ]), 0.7854, 1.0]
[82, array([ 0.5188, -0.0212]), array([ 0.52086667, -0.025     ]), 0.7854, 1.0]
[82, array([ 0.5188, -0.0212]), array([ 0.52101429, -0.025     ]), 0.7854, 1.0]
[82, array([ 0.5188, -0.0212]), array([ 0.5211619, -0.025    ]), 0.7854, 1.0]
[82, array([ 0.5188, -0.0212]), array([ 0.52130952, -0.025     ]), 0.7854, 1.0]
[82, array([ 0.5188, -0.0212]), array([ 0.52145714, -0.025     ]), 0.7854, 1.0]
[82, array([ 0.5188, -0.0212]), array([ 0.52160476, -0.025     ]), 0.7854, 1.0]
[82, array([ 0.5188, -0.0212]), array([ 0.52175238, -0.025     ]), 0.7854, 1.0]
[82, array([ 0.5188, -0.0212]), array([ 0.5219, -0.025 ]), 0.7854, 1.0]
[82, array([ 0.5188, -0.0212]), array([ 0.5188    , -0.02485238]), 0.7854, 1.0]
[82, array([ 0.5188, -0.0212]), array([ 0.51894762, -0.02485238]), 0.7854, 1.0]
