[84, array([ 0.4588, -0.0377]), array([ 0.4563, -0.0406]), 0.7854, 0.0]
[84, array([ 0.4588, -0.0377]), array([ 0.45644762, -0.0406    ]), 0.7854, 0.0]
[84, array([ 0.4588, -0.0377]), array([ 0.45659524, -0.0406    ]), 0.7854, 0.0]
[84, array([ 0.4588, -0.0377]), array([ 0.45674286, -0.0406    ]), 0.7854, 0.0]
[84, array([ 0.4588, -0.0377]), array([ 0.45689048, -0.0406    ]), 0.7854, 0.0]
[84, array([ 0.4588, -0.0377]), array([ 0.4570381, -0.0406   ]), 0.7854, 0.0]
[84, array([ 0.4588, -0.0377]), array([ 0.45718571, -0.0406    ]), 0.7854, 0.0]
[84, array([ 0.4588, -0.0377]), array([ 0.45733333, -0.0406    ]), 0.7854, 0.0]
[84, array([ 0.4588, -0.0377]), array([ 0.45748095, -0.0406    ]), 0.7854, 0.0]
[84, array([ 0.4588, -0.0377]), array([ 0.45762857, -0.0406    ]), 0.7854, 0.0]
[84, array([ 0.4588, -0.0377]), array([ 0.45777619, -0.0406    ]), 0.7854, 0.0]
[84, array([ 0.4588, -0.0377]), array([ 0.45792381, -0.0406    ]), 0.7854, 0.0]
[84, array([ 0.4588, -0.0377]), array([ 0.45807143, -0.0406    ]), 0.7854, 0.0]
[84, array([ 0.4588, -0.0377]), array([ 0.45821905, -0.0406    ]), 0.7854, 0.0]
[84, array([ 0.4588, -0.0377]), array([ 0.45836667, -0.0406    ]), 0.7854, 0.0]
[84, array([ 0.4588, -0.0377]), array([ 0.45851429, -0.0406    ]), 0.7854, 0.0]
[84, array([ 0.4588, -0.0377]), array([ 0.4586619, -0.0406   ]), 0.7854, 0.0]
[84, array([ 0.4588, -0.0377]), array([ 0.45880952, -0.0406    ]), 0.7854, 0.0]
[84, array([ 0.4588, -0.0377]), array([ 0.45895714, -0.0406    ]), 0.7854, 0.0]
[84, array([ 0.4588, -0.0377]), array([ 0.45910476, -0.0406    ]), 0.7854, 0.0]
